# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'cycles:u'
# Event count (approx.): 129682211826
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_nc_type
     0.00%  spindec  libnetcdf.so.19                 [.] new_NC_string@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dim@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_attrarrayV0@plt
     0.00%  spindec  libgomp.so.1.0.0                [.] 0x000000000000e670
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_get
     0.00%  spindec  libopen-pal.so.40.30.2          [.] register_variable
     0.00%  spindec  ld-linux-x86-64.so.2            [.] __nptl_change_stack_perm
     0.00%  spindec  libnetcdf.so.19                 [.] ncurifree
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8_normalize
     0.00%  spindec  libnetcdf.so.19                 [.] free_NCList@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlens@plt
     0.00%  spindec  libc.so.6                       [.] _IO_file_read
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapkey
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_vararrayV@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_close
     0.00%  spindec  libcrypto.so.1.1                [.] getrn
     0.00%  spindec  libnetcdf.so.19                 [.] freestringlist
     0.00%  spindec  libc.so.6                       [.] _IO_fgets
     0.00%  spindec  spindec                         [.] mpi_reduce_@plt
     0.00%  spindec  libc.so.6                       [.] __nptl_death_event
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_close
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_inq_varid_
     0.00%  spindec  spindec                         [.] __netcdf_MOD_nf90_put_var_2d_eightbytereal@plt
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_concat_string
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_var1_double_
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_uint32@plt
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Op_f2c@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nclistextract
     0.00%  spindec  libnetcdf.so.19                 [.] rel_v1hs
     0.00%  spindec  libnetcdf.so.19                 [.] NC_lookupvar@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_szof
     0.00%  spindec  libc.so.6                       [.] __close_nocancel
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_rel
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dimarrayV0
     0.00%  spindec  libnetcdf.so.19                 [.] strncpy@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8_normalize@plt
     0.00%  spindec  libc.so.6                       [.] _IO_sgetn
